title,summary,url
Biketawa,"Biketawa is one of the twenty-four small islets which comprise the atoll of Tarawa in the Republic of Kiribati. The capital of Kiribati, South Tarawa, is located on Tarawa.
The 2000 Biketawa Declaration on Pacific regional security takes its name from Biketawa.

",https://en.wikipedia.org/wiki/Biketawa
UK singles chart records and statistics,"The UK singles chart was first compiled in 1969. However, the records and statistics listed here date back to 1952 because the Official Charts Company counts a selected period of the New Musical Express chart (only from 1952 to 1960) and the Record Retailer chart from 1960 to 1969 as predecessors for the period prior to 11 February 1969, where multiples of competing charts coexisted side by side. For example, the BBC compiled its own chart based on an average of the music papers of the time; many songs announced as having reached number one on BBC Radio and Top of the Pops prior to 1969 may not be listed here as chart-toppers since they do not meet the legacy criteria of the Charts Company.",https://en.wikipedia.org/wiki/UK_singles_chart_records_and_statistics
Tsukisamu-Chūō Station,"Tsukisamu-Chūō Station (月寒中央駅) is a metro station in Toyohira-ku, Sapporo, Hokkaido, Japan. The station number is H13. It is located in the south of the Tōhō Line.",https://en.wikipedia.org/wiki/Tsukisamu-Ch%C5%AB%C5%8D_Station
"Cincinnati, New Orleans and Texas Pacific Railway","The Cincinnati, New Orleans and Texas Pacific Railway (abbreviated: CNO&TP; (reporting mark CNTP)) is a railroad that owns the Cincinnati Southern Railway from Cincinnati, Ohio, south to Chattanooga, Tennessee, and leases it to the Norfolk Southern Railway system.
The physical assets of the road were initially financed by the city of Cincinnati in the 1870s, and until March 2024 had been owned by the city.  It had been the only such long-distance railway owned by a municipality in the United States.  The CNO&TP now owns that property and operates one rail line, the Cincinnati Southern Railway, between Cincinnati and Chattanooga.","https://en.wikipedia.org/wiki/Cincinnati,_New_Orleans_and_Texas_Pacific_Railway"
Charles City County Courthouse,"The Charles City County Courthouse is a historic county courthouse located at Charles City, Charles City County, Virginia.  It was built about 1730, and is a one-story, T-shaped, brick structure. It has an apparently original modillion cornice and a steep hipped roof covered in tin.  It features an arcaded front.  Also on the property are a contributing Confederate monument, a late 19th-century clerk's office with later additions, and a frame jail building built about 1867.
It was listed on the National Register of Historic Places in 1982.",https://en.wikipedia.org/wiki/Charles_City_County_Courthouse
Torna atrás,"Torna atrás (Spanish pronunciation: [toɾnaˈtɾas]) or tornatrás is a term used in 18th century Casta paintings to portray a mestizo or mixed-race person who showed phenotypic characteristics of only one of the ""original races"", such as European or Amerindian ancestry. The term was also used to describe an individual whose parentage was half white and half ""albino"".",https://en.wikipedia.org/wiki/Torna_atr%C3%A1s
Desawade,"Desawade is a village in Parner taluka in Ahmednagar district of state of Maharashtra, India.

",https://en.wikipedia.org/wiki/Desawade
Notary,"A notary is a person authorised to perform acts in legal affairs, in particular witnessing signatures on documents. The form that the notarial profession takes varies with local legal systems.
A notary, while a legal professional, is distinct from an advocate in that they do not represent the person who engages their services, or act in contentious matters. 
The Worshipful Company of Scriveners use an old English term for a notary, and are an association of notaries practising in central London since 1373.

",https://en.wikipedia.org/wiki/Notary
Hacı İsaqlı,Hacı İsaqlı is a village in the Jabrayil Rayon of Azerbaijan.,https://en.wikipedia.org/wiki/Hac%C4%B1_%C4%B0saql%C4%B1
"Navy Camp, Mazandaran","Navy Camp (Persian: اردوگاه نيروي دريائي – Ardūgāh-e Nīrvī Darīāyī) is a village and military installation in Baladeh Kojur Rural District, in the Central District of Nowshahr County, Mazandaran Province, Iran. At the 2006 census, its population was 268, in 75 families.

","https://en.wikipedia.org/wiki/Navy_Camp,_Mazandaran"
Cinysca,"Cinysca is a genus of sea snails, marine gastropod mollusks in the family Areneidae.

",https://en.wikipedia.org/wiki/Cinysca
6th Golden Laurel Awards,"The 6th PGA Golden Laurel Awards, honoring the best film and television producers of 1994, were held at the Regent Beverly Wilshire Hotel in Los Angeles, California on March 8, 1995. The nominees were announced on January 26, 1995.",https://en.wikipedia.org/wiki/6th_Golden_Laurel_Awards
Arthonia didyma,Arthonia didyma is a species of lichen belonging to the family Arthoniaceae. It is native to Eurasia and North America.,https://en.wikipedia.org/wiki/Arthonia_didyma
Agreement between the Allied and Associated Powers with Regard to the Contribution to the Cost of Liberation of the Territories of the Former Austro-Hungarian Monarchy,"An agreement signed between the Allied Powers of the First World War on September 10, 1919. The agreement was registered in the League of Nations Treaty Series on 21 October 1920.
The agreement was concerned with states which either were established or gained new territories following the dissolution of the Austro-Hungarian Empire - Romania, Poland, Yugoslavia and Czechoslovakia.
Article 1 of the agreement stipulated for the payment by the above governments of 1.5 billion Gold Francs as the cost for gaining these new territories. Article 2 laid the rules for distribution of the payments between the said above governments. Articles 3-5 stipulated the sums will be deducted from the war reparations these governments were to receive from the Austrian government.",https://en.wikipedia.org/wiki/Agreement_between_the_Allied_and_Associated_Powers_with_Regard_to_the_Contribution_to_the_Cost_of_Liberation_of_the_Territories_of_the_Former_Austro-Hungarian_Monarchy
Old Curtisville Historic District,"Old Curtisville Historic District encompasses the village center of Interlaken in Stockbridge, Massachusetts.  It is historically significant as the site of the first wood-based newsprint paper mill in the United States, and has a well-preserved collection of late 18th and early 19th-century architecture.  It was listed on the National Register of Historic Places in 1976.",https://en.wikipedia.org/wiki/Old_Curtisville_Historic_District
Gymnopleurini,"Gymnopleurini is a tribe of scarab beetles, in the dung beetle subfamily (Scarabaeinae), but it may now be combined with the Scarabaeini. The side edge of each elytron (hardened fore-wing protecting the hind-wing) has a characteristic shape that exposed the underlying pleural sclerites (side plates of the abdomen). Relative to other dung beetles they are of moderate size (10–18 mm long).

",https://en.wikipedia.org/wiki/Gymnopleurini
2016–17 Malaysia Purple League,"2016–17 Malaysia Purple League (also known as SS Purple League for sponsorship reasons) is the third edition of Malaysia Purple League. It started on 12 December 2016 and concluded on 12 February 2017. It consisted of 45 league ties (each tie consisting of 5 matches) in Stage 1. Top six teams in Stage 1, then progressing to the finals stage.",https://en.wikipedia.org/wiki/2016%E2%80%9317_Malaysia_Purple_League
"Bald Knob (Franklin County, Virginia)","Bald Knob is a summit located in Franklin County, Virginia. The summit has an elevation of 1400 feet and is a familiar landmark overlooking the county seat, Rocky Mount.

","https://en.wikipedia.org/wiki/Bald_Knob_(Franklin_County,_Virginia)"
Thalwil–Arth-Goldau railway,"The Thalwil–Arth-Goldau railway is a Swiss railway that acts as a feeder route to the Gotthard Railway (Gotthardbahn, GB). It was opened for this purpose on 1 June 1897, with the Thalwil–Zug section owned by the Swiss Northeastern Railway (Schweizerische Nordostbahn, NOB) and the Zug–Arth-Goldau section owned by the GB. Since the nationalisation of the GB in 1909, the entire route has belonged to the Swiss Federal Railways (Schweizerische Bundesbahnen, SBB).
The route is still partially single-track and therefore highly-subject to delays. In addition there is a danger of natural hazards, especially on the Zug–Arth-Goldau section, which as a result often has to be closed for several days.",https://en.wikipedia.org/wiki/Thalwil%E2%80%93Arth-Goldau_railway
Devil's advocate,"The advocatus diaboli (Latin for Devil's advocate) is a former official position within the Catholic Church, the Promoter of the Faith: one who ""argued against the canonization (sainthood) of a candidate to uncover any character flaws or misrepresentation of the evidence favoring canonization"".
In common language, the phrase ""playing devil's advocate"" describes a situation where someone, given a certain point of view, takes a position they do not necessarily agree with (or simply an alternative position from the accepted norm), for the sake of debate or to explore the thought further using valid reasoning that both disagrees with the subject at hand and proves their own point valid. Despite being medieval in origin, this idiomatic expression is one of the most popular present-day English idioms used to express the concept of arguing against something without actually being committed to the contrary view. Playing devil's advocate is considered a form of the Socratic method.",https://en.wikipedia.org/wiki/Devil%27s_advocate
"Guaraci, Paraná","Guaraci is a municipality in the state of Paraná in the Southern Region of Brazil.

","https://en.wikipedia.org/wiki/Guaraci,_Paran%C3%A1"
Moamba District,"Moamba District is a district of Maputo Province in southern Mozambique. Its main town is Moamba. The district is located in the western part of the province, and borders with Magude District in the north, Manhiça and Marracuene Districts in the east, the city of Matola in the southeast, Boane District and Namaacha District in the south, and with Mpumalanga Province of South Africa, in the west. The area of the district is 4,628 square kilometres (1,787 sq mi). It has a population of 56,335 as of 2007. 

",https://en.wikipedia.org/wiki/Moamba_District
Hantum,"Hantum is a village in Noardeast-Fryslân in the province of Friesland, the Netherlands. It had a population of around 404 in January 2017. Before 2019, the village was part of the Dongeradeel municipality.
The village is home to a restored windmill, De Hantumermolen, and a Buddhist stupa and monastery.

",https://en.wikipedia.org/wiki/Hantum
List of protected heritage sites in Waremme,This table shows an overview of the protected heritage sites in the Walloon town  Waremme. This list is part of Belgium's national heritage.,https://en.wikipedia.org/wiki/List_of_protected_heritage_sites_in_Waremme
7th Regional Community Defense Group,"The 7th Regional Community Defense Group, Army Reserve Command; is a line unit of the Army Reserve Command. It was created for the sole purpose of Reserve Force management, procurement, and organisation in the areas encompassing Central Visayas.",https://en.wikipedia.org/wiki/7th_Regional_Community_Defense_Group
